resemble, 2, 2, 4
feel in, 1, 1, 2
pummel, 2, 1, 3
be property of, 1, 1, 2
pick, 2, 2, 4
to reduce, 1, 1, 2
be effective than, 1, 1, 2
should buy, 2, 1, 3
will fly to, 1, 1, 2
write about, 2, 3, 5
be use in, 23, 17, 40
be control by, 4, 2, 6
start on, 1, 1, 2
possess, 1, 1, 2
require, 12, 17, 29
be play by, 1, 1, 2
be claim by, 1, 1, 2
size, 1, 2, 3
can be treat with, 1, 1, 2
graduate from, 5, 4, 9
be sue, 2, 4, 6
will help, 1, 1, 2
dip in, 3, 4, 7
shall mean, 2, 3, 5
begin around, 1, 1, 2
roll, 2, 4, 6
 coordinate with, 1, 1, 2
concede, 1, 1, 2
turn, 1, 1, 2
be heart of, 3, 3, 6
coincide with, 1, 1, 2
permit on, 1, 2, 3
elect, 1, 1, 2
 express in, 1, 1, 2
pay to, 1, 1, 2
hand, 2, 2, 4
die in, 12, 4, 16
resume, 1, 2, 3
be preventable by, 1, 1, 2
record in, 1, 1, 2
address, 2, 1, 3
experience in, 1, 1, 2
emerge in, 2, 1, 3
will lead, 1, 1, 2
have be provide, 1, 1, 2
 connect in, 1, 1, 2
be approve in, 1, 1, 2
be write by, 1, 1, 2
v, 2, 2, 4
use in, 1, 2, 3
rule in, 5, 3, 8
elect president of, 1, 1, 2
be follow by, 1, 1, 2
 repeat at, 1, 1, 2
be handle by, 1, 1, 2
switch to, 5, 3, 8
be accept in, 1, 1, 2
who use, 1, 1, 2
dominate, 3, 4, 7
wish, 1, 1, 2
be raid by, 1, 1, 2
regret lose, 1, 2, 3
exceed, 2, 1, 3
be license by, 1, 1, 2
tip, 1, 2, 3
include parts of, 1, 1, 2
occur rarely in, 1, 1, 2
export, 1, 8, 9
be take by, 6, 2, 8
have identify, 1, 1, 2
 locate in, 25, 8, 33
be take at, 3, 1, 4
be increase in, 2, 2, 4
open to, 2, 2, 4
be smuggle into, 1, 1, 2
pay, 1, 1, 2
be link with, 3, 2, 5
lack, 3, 4, 7
have be work with, 1, 1, 2
recommend for, 1, 1, 2
may be add to, 1, 1, 2
be recognizable in, 1, 1, 2
be approve by, 2, 1, 3
be locate within, 1, 3, 4
be king of, 1, 1, 2
 know in, 2, 1, 3
remove, 1, 1, 2
serve as, 1, 2, 3
come of, 2, 1, 3
make of, 10, 4, 14
live, 9, 8, 17
help protect against, 1, 1, 2
perform, 1, 1, 2
be the birthplace of, 1, 3, 4
spread across, 1, 1, 2
can occur during, 2, 1, 3
score for, 3, 2, 5
permit, 2, 2, 4
be popular in, 18, 5, 23
be ship into, 1, 1, 2
have overtake, 1, 1, 2
 connect to, 1, 1, 2
make in, 18, 3, 21
be use extensively in, 1, 1, 2
allege that, 1, 1, 2
flow into, 1, 1, 2
to focus on, 1, 1, 2
cannot be give by, 1, 1, 2
pioneer, 1, 1, 2
leave for, 2, 2, 4
approach, 1, 2, 3
will absorb, 1, 1, 2
to prevent, 11, 4, 15
take over, 1, 1, 2
come with, 5, 6, 11
be accept through, 1, 1, 2
admit to, 4, 3, 7
hate, 3, 4, 7
block, 1, 2, 3
live at, 2, 2, 4
write, 9, 8, 17
be the antagonist of, 1, 1, 2
tour to, 1, 1, 2
be get, 1, 1, 2
be faster than, 1, 1, 2
stop produce, 1, 1, 2
dismiss, 1, 1, 2
should be test for, 1, 1, 2
propose, 1, 1, 2
be annex by, 4, 1, 5
be the result of, 2, 2, 4
have be link to, 1, 1, 2
be riddle with, 1, 1, 2
install, 2, 3, 5
be form of, 2, 2, 4
sangre, 1, 1, 2
champion, 2, 2, 4
may make, 1, 1, 2
save, 1, 1, 2
be excrete into, 4, 2, 6
be synthesize from, 1, 1, 2
be preside over by, 1, 1, 2
top, 1, 1, 2
may pass into, 2, 2, 4
be twin with, 3, 1, 4
be free from, 1, 1, 2
expand southward into, 1, 1, 2
roast, 4, 3, 7
make from, 6, 8, 14
create in, 1, 1, 2
be transfer to, 1, 1, 2
be license in, 2, 2, 4
occur frequently in, 2, 1, 3
peel, 1, 1, 2
be affect by, 1, 1, 2
have hit, 1, 1, 2
produce, 21, 22, 43
be bake with, 1, 1, 2
denounce, 1, 1, 2
cheat, 1, 1, 2
be leave in, 1, 1, 2
help reduce, 1, 1, 2
bear down on, 1, 1, 2
be load into, 1, 1, 2
infect, 1, 1, 2
be available only within, 1, 1, 2
serve with, 9, 8, 17
bind for, 1, 1, 2
complain to, 2, 2, 4
to acquire, 3, 1, 4
be know throughout, 2, 2, 4
be locate between, 2, 1, 3
be use for, 12, 9, 21
look at, 2, 2, 4
be essential in, 2, 1, 3
may be associate with, 2, 1, 3
cultivate in, 1, 1, 2
rejoin, 1, 1, 2
be contraindicate in, 3, 1, 4
raise, 6, 5, 11
be supply by, 1, 1, 2
be convert to, 6, 8, 14
suspend, 1, 2, 3
 base out of, 1, 1, 2
will move to, 1, 1, 2
lay, 12, 5, 17
to end, 2, 3, 5
tick, 3, 3, 6
be mention in, 10, 2, 12
 found by, 1, 1, 2
improve, 1, 2, 3
come to, 29, 6, 35
to send, 1, 2, 3
be serve with, 3, 3, 6
be invade by, 3, 2, 5
be part of, 34, 31, 65
try, 3, 6, 9
homer for, 1, 1, 2
ache for, 1, 1, 2
be declare, 1, 1, 2
can be smoothen by, 1, 1, 2
 endanger in, 1, 1, 2
_ bear in, 1, 1, 2
be rarely accept in, 1, 1, 2
be form in, 2, 2, 4
be uncontroll in, 2, 1, 3
cause, 33, 13, 46
be grow in, 12, 5, 17
be certify by, 1, 1, 2
be permit on, 1, 1, 2
design, 1, 1, 2
sign treaty of, 1, 1, 2
burn, 1, 1, 2
be return to, 5, 1, 6
be to as, 1, 1, 2
be art of, 1, 1, 2
serve in, 2, 2, 4
be incorporate in, 5, 3, 8
die on, 6, 1, 7
be perfect for, 1, 1, 2
rise in, 3, 3, 6
need in, 1, 1, 2
die of, 11, 1, 12
spread to, 2, 1, 3
be buy, 1, 1, 2
conduct, 3, 3, 6
combine with, 1, 1, 2
be exchange for, 1, 1, 2
work with, 11, 10, 21
sport, 1, 1, 2
could imagine, 1, 1, 2
walk, 1, 3, 4
be necessary for, 5, 3, 8
supply, 1, 1, 2
 follow by, 14, 16, 30
state, 1, 2, 3
be come with, 1, 1, 2
press, 2, 3, 5
welcome, 1, 1, 2
be buy by, 1, 1, 2
be introduce in, 3, 1, 4
be accompany by, 3, 3, 6
have show, 1, 1, 2
want, 6, 9, 15
be work with, 3, 3, 6
should be withdraw from, 1, 1, 2
recognize, 2, 4, 6
belong to, 11, 10, 21
be consume in, 1, 1, 2
be cede to, 5, 1, 6
induce, 14, 7, 21
will join, 3, 7, 10
complete acquisition of, 1, 1, 2
be name for, 1, 1, 2
have give, 2, 2, 4
be use with, 1, 1, 2
cut, 2, 2, 4
be rediscover in, 1, 1, 2
be misdiagnose as, 2, 1, 3
be tie with, 1, 1, 2
promote, 3, 3, 6
follow in, 1, 1, 2
to lead, 1, 1, 2
found, 3, 1, 4
attack, 7, 17, 24
will develop, 1, 2, 3
conclude that, 1, 1, 2
will use, 1, 1, 2
think, 3, 3, 6
receive, 5, 3, 8
have play, 1, 2, 3
be find in, 26, 23, 49
inhibit, 10, 5, 15
ally with, 1, 1, 2
work in, 9, 4, 13
be face, 1, 1, 2
watch, 1, 1, 2
to help, 2, 1, 3
shall pay, 1, 1, 2
be team with, 1, 1, 2
be available through, 1, 1, 2
quit, 2, 2, 4
withdraw from, 3, 6, 9
evoke, 1, 1, 2
be low in, 3, 4, 7
follow by, 3, 3, 6
attend, 7, 5, 12
who live in, 1, 1, 2
do cite, 1, 1, 2
be the author of, 2, 2, 4
arrive at, 3, 1, 4
initiate, 1, 1, 2
be accredit by, 6, 3, 9
be rich in, 12, 9, 21
vanish within, 1, 1, 2
go into, 2, 4, 6
have call, 2, 1, 3
be rename, 1, 1, 2
to know, 1, 2, 3
will provide, 2, 1, 3
be locate north of, 1, 1, 2
be cause of, 2, 1, 3
lie between, 1, 1, 2
be speak in, 1, 1, 2
develop, 6, 10, 16
be back in, 1, 1, 2
gear up for, 1, 1, 2
warn, 11, 4, 15
can access, 1, 1, 2
measure, 1, 1, 2
can increase, 4, 2, 6
team with, 1, 1, 2
be metabolize to, 1, 1, 2
attend university of, 2, 1, 3
rattle, 2, 1, 3
be ally with, 1, 2, 3
run on, 13, 4, 17
can become, 2, 1, 3
review on, 1, 1, 2
be commonly, 2, 1, 3
be ban in, 18, 2, 20
start at, 1, 1, 2
be review, 1, 1, 2
be annex to, 3, 1, 4
have name, 1, 1, 2
have more about, 1, 1, 2
be create out of, 1, 1, 2
secrete, 1, 1, 2
stuff with, 6, 7, 13
be editor of, 2, 3, 5
enhance, 1, 1, 2
travel to, 14, 4, 18
stop make, 1, 1, 2
invest in, 1, 2, 3
be celebrate, 4, 1, 5
start, 3, 2, 5
purchase, 2, 5, 7
join with, 2, 2, 4
be mark by, 2, 2, 4
be unite with, 1, 1, 2
manage, 1, 1, 2
develop for, 1, 5, 6
can beat, 1, 1, 2
live from, 2, 1, 3
will be decrease during, 1, 1, 2
be favor by, 1, 1, 2
regulate, 3, 3, 6
keep march beyond, 1, 1, 2
make surf, 1, 1, 2
put, 3, 2, 5
protect against, 3, 2, 5
be replace by, 1, 1, 2
say about, 1, 3, 4
enter, 9, 15, 24
be smaller than, 3, 3, 6
be manifestation of, 1, 1, 2
 compose of, 1, 1, 2
 broadcast from, 1, 1, 2
destroy, 6, 3, 9
be affected than, 1, 1, 2
relate to, 3, 1, 4
may mean, 1, 1, 2
may reduce, 1, 1, 2
can complicate, 1, 1, 2
manage by, 1, 1, 2
provide, 37, 19, 56
need to, 1, 1, 2
meet with, 2, 1, 3
look to, 1, 1, 2
be introduce to, 9, 1, 10
will arrive in, 1, 1, 2
 west to, 1, 1, 2
consume, 1, 1, 2
grow well near, 1, 1, 2
assure, 1, 1, 2
win over, 1, 1, 2
take to, 1, 1, 2
be play in, 4, 4, 8
stress that, 1, 1, 2
have in, 1, 1, 2
be essential for, 5, 2, 7
may be use to, 1, 1, 2
to work with, 1, 1, 2
must be link to, 1, 1, 2
should be avoid during, 3, 1, 4
should be take during, 1, 1, 2
may be confuse with, 1, 1, 2
have rank, 1, 1, 2
travel, 1, 1, 2
be renown for, 1, 1, 2
be fatal in, 1, 1, 2
 educate at, 1, 1, 2
breed in, 1, 1, 2
hack spread like, 1, 1, 2
be connect with, 1, 1, 2
tell, 20, 15, 35
can learn from, 1, 1, 2
replace, 3, 3, 6
experience, 2, 3, 5
be recognize on, 1, 1, 2
be a man of, 1, 1, 2
be susceptible to, 3, 1, 4
hit, 9, 11, 20
exist in, 6, 3, 9
beat, 28, 24, 52
prepare with, 1, 1, 2
bear, 1, 2, 3
arrive in, 29, 5, 34
consider, 3, 7, 10
obtain, 1, 1, 2
resist, 2, 1, 3
work on, 2, 1, 3
return to, 34, 8, 42
have partner with, 1, 1, 2
can get, 3, 2, 5
 take with, 1, 1, 2
stimulate, 7, 5, 12
be size of, 3, 2, 5
add for, 1, 1, 2
be spread to, 1, 1, 2
be situate in, 7, 8, 15
 characterize by, 1, 1, 2
ease, 2, 2, 4
be capitol of, 4, 3, 7
be build on, 2, 2, 4
be fund through, 1, 2, 3
be publish for, 1, 1, 2
be different from, 6, 3, 9
be offer, 1, 1, 2
can irritate, 1, 1, 2
start in, 13, 5, 18
 know as, 52, 59, 111
be epidemic in, 3, 1, 4
be experience, 2, 2, 4
head to, 1, 1, 2
be produce by, 1, 1, 2
intervene in, 1, 2, 3
collect in, 1, 1, 2
be purchase by, 1, 1, 2
take on, 2, 2, 4
differ deeply with, 1, 1, 2
build, 6, 7, 13
mean, 15, 17, 32
approve, 11, 15, 26
be back to, 1, 1, 2
remove to, 1, 1, 2
be compatible with, 1, 2, 3
be illegal in, 7, 2, 9
should be treat with, 1, 1, 2
may help regenerate, 1, 1, 2
be responsible for, 1, 1, 2
be cede by, 2, 1, 3
be hold, 2, 1, 3
be make by, 5, 2, 7
produce in, 6, 4, 10
have be sell, 1, 1, 2
locate in, 9, 4, 13
bind, 1, 3, 4
to join, 1, 4, 5
operate throughout, 1, 1, 2
begin in:date, 1, 1, 2
pass, 2, 4, 6
be find throughout, 4, 1, 5
be cause by, 8, 14, 22
be calculate as, 1, 1, 2
can be substitute for, 1, 1, 2
be register trademarks of, 1, 1, 2
be divide into, 3, 3, 6
merge with, 4, 4, 8
be take, 1, 1, 2
be indigenous to, 3, 1, 4
file for, 1, 3, 4
can seek, 1, 1, 2
be import from, 8, 1, 9
be secrete in, 1, 2, 3
should get out of, 1, 4, 5
may attract, 1, 1, 2
 refer to as, 4, 3, 7
interfere with, 1, 1, 2
compare, 3, 4, 7
be domesticate in, 1, 1, 2
be elect president of, 2, 1, 3
be spread in, 1, 1, 2
be support, 3, 2, 5
be wider than, 1, 1, 2
have lose to, 1, 1, 2
clear for, 1, 1, 2
can aggravate, 1, 1, 2
occur primarily in, 1, 1, 2
have support, 1, 1, 2
be high in, 12, 9, 21
be fund by, 8, 3, 11
can affect, 3, 4, 7
believe in, 1, 1, 2
tail, 1, 1, 2
involve, 3, 3, 6
have join, 2, 9, 11
be the headquarters of, 1, 1, 2
be well_known for, 1, 1, 2
be remarkable for, 1, 1, 2
to ipod, 1, 1, 2
build for, 1, 1, 2
be convert into, 6, 7, 13
meet, 14, 14, 28
be value in, 1, 1, 2
represent, 1, 1, 2
appear in, 8, 11, 19
die, 3, 3, 6
be acquire by, 1, 1, 2
promise, 2, 2, 4
dip, 5, 7, 12
be extract from, 2, 2, 4
rake through, 1, 1, 2
hold, 9, 6, 15
trail, 1, 1, 2
be prevalent than, 1, 1, 2
be split off from, 1, 1, 2
be obtain from, 5, 3, 8
to go to, 3, 3, 6
extend into, 1, 1, 2
melt in, 1, 3, 4
test, 1, 1, 2
be excrete in, 4, 3, 7
can impact, 1, 1, 2
be diagnose during, 2, 1, 3
confirm in, 1, 1, 2
take, 14, 13, 27
say in, 3, 2, 5
accompany, 2, 2, 4
; raise in, 1, 1, 2
bind to, 3, 1, 4
blame, 1, 1, 2
be prescribe frequently in, 1, 1, 2
 bound by, 1, 1, 2
be sensitive to, 1, 1, 2
 host by, 1, 1, 2
be much like, 1, 1, 2
flee from, 1, 1, 2
be similar to, 10, 10, 20
report that, 7, 9, 16
finish with, 2, 1, 3
will meet in, 1, 1, 2
strike in, 2, 2, 4
be archive in, 1, 2, 3
to enter into, 1, 1, 2
have do for, 2, 1, 3
will visit, 2, 1, 3
be destroy by, 1, 1, 2
will win, 7, 5, 12
operate out of, 1, 1, 2
be spend in, 1, 6, 7
be expand, 1, 1, 2
be set in, 1, 1, 2
claim that, 3, 2, 5
 base in, 29, 11, 40
react to, 2, 2, 4
be connect to, 7, 2, 9
iana, 1, 1, 2
be sell in, 2, 1, 3
should follow, 1, 1, 2
emerge from, 1, 1, 2
be still in, 7, 4, 11
to attack, 1, 1, 2
be separate from, 3, 3, 6
can help during, 1, 1, 2
hope, 6, 5, 11
be collaborate with, 1, 1, 2
be important during, 2, 1, 3
be host, 2, 1, 3
be capital of, 16, 12, 28
write for, 2, 4, 6
leap ahead of, 1, 1, 2
chop, 7, 6, 13
be operate in, 1, 1, 2
flee to, 7, 2, 9
be the capital of, 12, 10, 22
hold in, 3, 5, 8
to treat, 7, 2, 9
 grow in, 1, 1, 2
design for, 1, 1, 2
be fight by, 1, 1, 2
 accompany by, 1, 1, 2
headquarter in, 3, 2, 5
deliver, 5, 3, 8
have deny, 1, 1, 2
would beat, 1, 1, 2
notify, 3, 2, 5
mention, 1, 1, 2
be raise in, 4, 3, 7
be make in, 17, 2, 19
be good for, 2, 3, 5
can raise, 4, 1, 5
surround, 1, 2, 3
nourish, 2, 1, 3
contribute report from, 2, 1, 3
to invest in, 1, 1, 2
join in, 1, 1, 2
strike, 4, 5, 9
favourite, 2, 1, 3
bless, 1, 1, 2
go to, 9, 5, 14
decrease with, 2, 1, 3
fly to, 4, 2, 6
raise for, 1, 4, 5
find that, 4, 4, 8
would take, 1, 1, 2
use, 32, 37, 69
could use, 1, 1, 2
serve, 10, 8, 18
run under, 1, 1, 2
 base on, 1, 1, 2
to live with, 1, 2, 3
spread throughout, 1, 1, 2
have embrace, 1, 1, 2
be perform at, 1, 1, 2
find, 4, 3, 7
ust, 7, 1, 8
host, 5, 6, 11
 import from, 1, 1, 2
form in, 2, 4, 6
to stay in, 1, 1, 2
be the size of, 1, 2, 3
be now, 1, 1, 2
use for, 1, 1, 2
to receive, 1, 1, 2
hail from, 2, 2, 4
pay for, 1, 1, 2
dry, 3, 3, 6
fill, 2, 2, 4
be infect with, 1, 1, 2
become governor of, 1, 1, 2
feed, 2, 1, 3
; sponsor by, 1, 1, 2
have be build, 1, 1, 2
be never see in, 1, 1, 2
slam into, 1, 1, 2
be home of, 4, 11, 15
present, 3, 4, 7
can occur with, 1, 1, 2
be cultivate in, 5, 2, 7
present at, 1, 1, 2
make for, 1, 3, 4
find in, 15, 11, 26
be type of, 2, 2, 4
will beat, 4, 6, 10
be sell as, 2, 2, 4
be different than, 1, 1, 2
be ally of, 1, 1, 2
transform, 2, 4, 6
advise, 1, 1, 2
be the product of, 2, 2, 4
write from, 1, 1, 2
be eat in, 2, 1, 3
make, 23, 21, 44
be famous for, 5, 9, 14
have sign, 1, 1, 2
rebuke, 1, 1, 2
be cook with, 1, 1, 2
be do in, 8, 4, 12
can cause, 40, 14, 54
may irritate, 1, 1, 2
to work in, 1, 1, 2
depend on, 4, 2, 6
be view with, 2, 1, 3
 popularize by, 1, 1, 2
help protect, 1, 1, 2
may stave off, 1, 1, 2
be sell to, 1, 1, 2
 own by, 5, 3, 8
inform, 7, 5, 12
campaign in, 1, 1, 2
 top with, 1, 3, 4
commit, 1, 2, 3
be defeat in, 1, 2, 3
say get, 1, 2, 3
to rent, 1, 1, 2
be celebrate on, 1, 1, 2
to play, 3, 4, 7
be list as, 1, 1, 2
be heavier than, 1, 1, 2
open in, 8, 3, 11
be grow commercially in, 2, 1, 3
cover, 9, 11, 20
may be treat with, 1, 1, 2
ban in, 1, 1, 2
can obtain, 1, 1, 2
integrate into, 1, 1, 2
fire, 3, 4, 7
 fund by, 1, 1, 2
may progress to, 1, 1, 2
work nicely in, 1, 1, 2
should monitor, 1, 1, 2
develop into, 1, 1, 2
comprise, 9, 4, 13
may be combine with, 1, 1, 2
live in, 40, 10, 50
be the process of, 1, 1, 2
fall to, 2, 4, 6
be insure by, 3, 1, 4
be expose to, 1, 1, 2
invent, 2, 4, 6
to cooperate with, 1, 1, 2
can progress to, 2, 1, 3
have come to, 1, 1, 2
have drop, 1, 1, 2
be locate at, 1, 1, 2
be market worldwide by, 3, 1, 4
be warn, 1, 1, 2
ply daily between, 1, 1, 2
be anesthetize with, 2, 4, 6
develop at, 1, 1, 2
be create in, 3, 1, 4
can result in, 4, 4, 8
be practise in, 1, 1, 2
eliminate, 1, 1, 2
 cause by, 1, 4, 5
believe, 8, 5, 13
be associate with, 19, 16, 35
to kill, 1, 1, 2
call on, 1, 1, 2
outnumber, 1, 1, 2
begin teach at, 1, 1, 2
mit, 1, 1, 2
must take, 2, 1, 3
differ from, 1, 1, 2
 make by, 4, 2, 6
invade, 26, 12, 38
star, 5, 4, 9
be free of, 2, 2, 4
face, 4, 8, 12
propose that, 1, 1, 2
abandon, 1, 1, 2
be run high on, 1, 1, 2
be know in, 1, 1, 2
invite, 2, 2, 4
to use, 2, 8, 10
be use only by, 1, 1, 2
taste like, 1, 1, 2
open, 3, 3, 6
treat, 5, 3, 8
be widespread throughout, 1, 1, 2
be opposite of, 1, 1, 2
will be conduct in, 1, 1, 2
tell that, 3, 1, 4
sail for, 2, 2, 4
shrug, 1, 1, 2
confirm that, 1, 1, 2
retire from, 1, 2, 3
be make of, 15, 7, 22
be know as, 31, 42, 73
link with, 1, 1, 2
to generate, 2, 1, 3
may be use with, 1, 1, 2
occur in, 13, 12, 25
march on, 1, 1, 2
be perform in, 1, 1, 2
accept through, 1, 3, 4
have invade, 5, 3, 8
be the form of, 2, 2, 4
serve on, 1, 1, 2
be popular than, 2, 2, 4
view use, 1, 1, 2
extract from, 1, 1, 2
celebrate, 13, 2, 15
live and work in, 1, 1, 2
be prescribe for, 2, 3, 5
be plant in, 1, 1, 2
be observe in, 2, 2, 4
inspect, 2, 1, 3
shall pay to, 1, 1, 2
be release in, 3, 2, 5
allow, 3, 4, 7
be assassinate in, 1, 2, 3
can involve, 1, 1, 2
rule, 6, 4, 10
sell out, 1, 1, 2
offer for, 1, 1, 2
condemn, 1, 1, 2
be north of, 6, 3, 9
can be confuse with, 1, 1, 2
speed, 2, 1, 3
present in, 1, 1, 2
admit, 4, 3, 7
shall be fill with, 1, 1, 2
be another facility of, 1, 1, 2
be ruler of, 1, 1, 2
be commit to, 4, 5, 9
believe that, 1, 1, 2
settle in, 3, 1, 4
may be give by, 1, 1, 2
overlook, 2, 2, 4
be toxic to, 3, 1, 4
 elect in, 1, 1, 2
pass into, 16, 2, 18
can induce, 1, 1, 2
be distribute in, 1, 1, 2
be incorporate into, 2, 1, 3
mark, 1, 1, 2
base, 2, 2, 4
be service mark of, 1, 2, 3
be common in, 10, 10, 20
be arrest in, 2, 1, 3
be queen of, 1, 1, 2
begin with, 4, 4, 8
 4th of, 2, 1, 3
be branch of, 2, 2, 4
be ravage, 1, 2, 3
relate, 1, 1, 2
get taste of, 1, 1, 2
enable, 8, 4, 12
be locate in, 50, 29, 79
develop in, 6, 8, 14
be dissolve in, 2, 1, 3
work, 1, 1, 2
lose, 9, 11, 20
compete in, 1, 2, 3
will celebrate, 1, 1, 2
 travel across, 1, 1, 2
graduate from university of, 2, 1, 3
move to, 37, 7, 44
begin in, 20, 7, 27
accumulate in, 1, 1, 2
be correlate with, 2, 2, 4
love, 18, 19, 37
be celebrate in, 2, 4, 6
 angioplasty with, 1, 1, 2
seize, 3, 2, 5
manufacture in, 1, 1, 2
be write in, 2, 1, 3
become capital of, 3, 3, 6
enjoy, 7, 3, 10
seize in, 1, 1, 2
become part of, 6, 3, 9
will support, 1, 1, 2
spread in, 2, 2, 4
import from, 1, 1, 2
fall, 3, 3, 6
be own by, 8, 6, 14
eat, 5, 9, 14
happen in, 1, 1, 2
include, 13, 12, 25
be require for, 8, 2, 10
be represent in, 2, 1, 3
be conduct at, 1, 1, 2
be stable than, 1, 1, 2
may cause, 31, 9, 40
be build, 2, 5, 7
sphere ripple out from, 1, 1, 2
have inform, 1, 1, 2
can begin in, 1, 1, 2
launch in, 1, 2, 3
be run by, 1, 1, 2
devour, 1, 1, 2
collapse in, 1, 1, 2
escort, 1, 1, 2
 sleepless in, 1, 1, 2
prefer, 3, 3, 6
to and from, 1, 1, 2
to invade, 1, 1, 2
be list with, 1, 1, 2
be concern respectively with, 1, 1, 2
depart, 4, 1, 5
can occur in, 1, 1, 2
be work in, 2, 3, 5
may mimic, 1, 1, 2
hold off, 1, 1, 2
occur at, 1, 1, 2
capture, 1, 1, 2
increase with, 3, 1, 4
manufacture, 1, 1, 2
be affect, 1, 1, 2
make with, 4, 9, 13
can be eradicate from, 1, 1, 2
be no produce, 1, 1, 2
be center of, 1, 1, 2
can be transmit to, 1, 1, 2
fall on, 2, 1, 3
steal, 1, 1, 2
be complete in, 1, 1, 2
to come to, 1, 1, 2
treat with, 2, 2, 4
break out in, 1, 1, 2
call to, 1, 1, 2
begin at, 5, 4, 9
be admit into, 1, 2, 3
be ravage by, 1, 1, 2
spend, 1, 1, 2
be eat with, 1, 1, 2
be test for, 1, 1, 2
; affiliate with, 1, 1, 2
be locate on, 4, 3, 7
be list on, 1, 3, 4
annex, 1, 7, 8
cook with, 2, 2, 4
be important for, 3, 1, 4
 direct by, 2, 2, 4
fall for, 1, 1, 2
found in, 2, 4, 6
be prone to, 1, 1, 2
